,distance,speed,temp_inside,temp_outside,specials,gas_type,AC,rain,sun,refill liters,refill gas,consume
100,16.6,52,22.0,15,rain,SP98,0,1,0,,,4.2
101,11.8,28,22.5,12,,E10,0,0,0,,,4.5
102,5.1,39,21.5,4,,E10,0,0,0,,,8.1
103,12.3,61,21.5,10,rain,SP98,0,1,0,,,6.1
104,16.2,39,24.5,17,ac,SP98,1,0,0,,,4.4
105,33.4,36,21.5,3,,E10,0,0,0,,,5.6
106,58.7,75,21.0,0,,E10,0,0,0,,,4.8
107,16.1,38,25.0,31,AC,SP98,1,0,0,,,4.3
108,7.0,25,21.5,17,,E10,0,0,0,,,5.2
109,11.8,40,21.5,4,,E10,0,0,0,,,4.7
110,44.4,38,21.5,8,,E10,0,0,0,38.3,E10,4.8
111,17.4,30,21.5,5,,SP98,0,0,0,,,5.1
112,39.5,58,22.0,25,,E10,0,0,0,,,4.2
113,16.0,44,22.0,16,,SP98,0,0,0,,,3.7
114,21.1,36,21.5,8,,E10,0,0,0,,,4.6
115,44.9,62,21.5,8,,E10,0,0,0,,,4.7
116,7.9,31,22.5,12,AC,SP98,1,0,0,,,4.7
117,15.4,55,22.0,18,,SP98,0,0,0,,,4.9
118,4.2,32,22.0,18,,E10,0,0,0,,,5.6
119,16.0,40,22.0,10,,SP98,0,0,0,,,4.1
120,2.9,18,21.5,9,AC rain,SP98,1,1,0,,,7.9
121,15.4,43,22.0,16,,SP98,0,0,0,,,4.6
122,24.7,58,21.5,12,,E10,0,0,0,,,5.1
123,16.0,39,24.5,18,,SP98,0,0,0,,,3.7
124,27.3,36,21.5,10,,SP98,0,0,0,,,4.7
125,18.4,21,22.5,2,,E10,0,0,0,,,5.7
126,40.6,44,21.0,3,,E10,0,0,0,,,4.4
127,16.0,45,22.0,15,,SP98,0,0,0,,,4.1
128,12.9,34,22.5,8,rain,SP98,0,1,0,,,5.1
129,4.1,24,22.5,13,,E10,0,0,0,,,5.4
130,11.8,37,21.5,10,,E10,0,0,0,,,4.1
131,7.8,43,21.5,11,,E10,0,0,0,,,4.4
132,5.1,21,23.5,5,,SP98,0,0,0,,,8.7
133,19.0,29,22.5,10,,E10,0,0,0,39.0,E10,4.5
134,11.8,38,23.0,0,snow,SP98,0,1,0,,,4.6
135,2.9,24,21.5,14,,SP98,0,0,0,,,7.4
136,11.8,36,21.5,1,,E10,0,0,0,,,4.7
137,15.4,40,22.0,18,,E10,0,0,0,,,4.8
138,11.8,34,21.5,9,rain,E10,0,1,0,,,4.2
139,25.7,45,22.5,7,,E10,0,0,0,,,5.0
140,4.9,26,21.0,1,,SP98,0,0,0,,,6.5
141,2.4,26,20.0,10,,SP98,0,0,0,,,9.0
142,16.6,56,21.0,7,,SP98,0,0,0,,,5.1
143,18.1,36,20.0,19,,SP98,0,0,0,,,3.6
144,12.7,39,22.0,27,sun,SP98,0,0,1,,,4.5
145,11.8,42,22.5,2,,SP98,0,0,0,,,4.8
146,18.4,28,21.5,3,,E10,0,0,0,,,5.8
147,10.2,44,21.5,7,,E10,0,0,0,,,4.3
148,15.4,52,22.0,26,,SP98,0,0,0,,,4.5
149,12.3,42,22.5,10,,E10,0,0,0,,,5.0
150,16.6,50,22.0,25,,E10,0,0,0,,,4.6
151,24.5,50,,15,sun,E10,0,0,1,,,3.9
152,11.8,37,21.5,7,,E10,0,0,0,,,4.3
153,15.4,42,22.0,30,,SP98,0,0,0,,,4.5
154,24.7,26,22.0,10,,SP98,0,0,0,,,4.5
155,21.5,47,25.0,27,AC Sun,E10,1,0,1,,,4.8
156,32.1,47,22.0,26,,SP98,0,0,0,,,3.9
157,12.1,43,22.0,4,,SP98,0,0,0,39.0,SP98,4.2
158,6.4,37,,10,,SP98,0,0,0,,,4.4
159,16.1,24,21.5,7,rain,E10,0,1,0,38.0,E10,5.4
160,16.1,33,21.5,6,,SP98,0,0,0,,,4.5
161,6.0,27,22.0,17,,SP98,0,0,0,,,4.8
162,6.1,24,21.5,13,,SP98,0,0,0,,,5.6
163,2.1,23,21.5,9,,SP98,1,1,0,,,12.2
164,11.8,43,23.0,0,,SP98,0,0,0,,,5.1
165,14.5,36,25.0,22,,SP98,0,0,0,,,4.3
166,18.9,53,21.5,2,,E10,0,0,0,,,4.4
167,16.5,48,22.0,15,,SP98,0,0,0,,,4.0
168,11.8,16,22.5,6,rain,E10,0,1,0,,,6.1
169,15.4,21,22.0,24,,E10,0,0,0,,,5.1
170,12.3,59,21.5,10,,E10,0,0,0,,,5.9
171,6.6,43,22.0,16,,SP98,0,0,0,,,5.6
172,36.9,52,21.5,5,,E10,0,0,0,,,4.8
173,11.8,43,21.5,3,,SP98,0,0,0,,,4.5
174,6.8,26,21.5,6,,SP98,0,0,0,,,5.3
175,22.9,29,,21,,E10,0,0,0,,,4.0
176,1.7,14,21.5,10,rain,E10,0,1,0,,,10.8
177,11.3,38,22.0,17,,SP98,0,0,0,37.0,SP98,4.3
178,11.8,24,21.5,7,,SP98,0,0,0,,,4.9
179,12.9,36,21.5,14,,E10,0,0,0,,,3.9
180,36.6,80,21.5,7,rain,E10,0,1,0,,,5.2
181,8.3,52,24.5,27,,SP98,0,0,0,,,5.0
182,15.7,32,22.5,13,,SP98,0,0,0,,,4.1
183,11.8,26,23.0,4,rain,SP98,0,1,0,,,5.1
184,16.6,49,22.0,17,,E10,0,0,0,37.7,E10,3.7
185,12.4,37,21.0,7,,SP98,0,0,0,,,5.7
186,12.5,51,20.0,13,,SP98,0,0,0,,,4.0
187,11.8,41,21.5,13,,SP98,0,0,0,,,4.5
188,12.4,56,21.5,7,,SP98,0,0,0,,,4.7
189,13.6,44,19.0,18,,SP98,0,0,0,,,4.5
190,22.9,61,21.5,7,rain,E10,0,1,0,,,4.6
191,19.8,56,22.0,17,sun,SP98,0,0,1,,,4.0
192,7.4,25,22.0,18,sun,SP98,0,0,1,,,4.1
193,12.3,57,22.5,15,sun,E10,0,0,1,,,5.2
194,17.3,37,21.5,1,,SP98,0,0,0,,,5.6
195,20.1,41,21.5,18,,E10,0,0,0,,,4.4
196,16.1,32,22.0,19,,SP98,0,0,0,,,4.5
197,15.4,43,22.0,24,,E10,0,0,0,,,4.5
198,12.3,55,22.5,8,,E10,0,0,0,,,5.1
199,4.5,29,21.5,7,AC,E10,1,0,0,,,5.0
200,16.3,35,22.0,23,,SP98,0,0,0,,,4.0
201,21.1,33,22.0,10,rain,SP98,0,1,0,,,5.1
202,25.3,32,21.5,3,,E10,0,0,0,,,5.5
203,11.8,40,22.5,2,,E10,0,0,0,,,4.6
204,22.7,55,21.5,6,,E10,0,0,0,,,4.7
205,10.1,35,22.0,16,,SP98,0,0,0,,,4.2
206,5.1,39,21.5,4,,SP98,0,0,0,,,6.4
207,29.9,32,22.0,18,ac,SP98,1,0,0,,,4.5
208,11.6,61,21.5,7,,SP98,0,0,0,,,4.2
209,8.3,26,22.0,23,,SP98,0,0,0,,,4.9
210,6.1,33,22.0,24,sun,SP98,0,0,1,,,5.0
211,16.0,40,22.0,7,AC rain,SP98,1,1,0,,,4.4
212,16.0,42,22.0,15,,E10,0,0,0,,,4.0
213,15.4,50,21.5,21,,E10,0,0,0,,,4.2
214,100.9,87,23.5,22,,E10,0,0,0,,,4.7
215,25.2,55,22.5,9,,E10,0,0,0,,,5.0
216,12.6,33,,17,,SP98,0,0,0,,,4.1
217,11.6,25,21.5,6,,SP98,0,0,0,,,5.0
218,11.8,25,21.5,11,,SP98,0,0,0,,,4.9
219,31.4,62,22.5,11,,SP98,0,0,0,,,4.6
220,12.3,40,21.5,6,,E10,0,0,0,,,5.0
221,4.9,25,21.0,12,rain,SP98,0,1,0,,,6.9
222,16.0,41,22.0,12,,E10,0,0,0,,,3.8
223,12.4,46,21.5,11,,E10,0,0,0,,,4.7
224,15.4,50,22.0,14,,E10,0,0,0,,,4.5
225,4.2,26,21.5,5,,SP98,0,0,0,,,6.0
226,4.9,26,21.5,6,,E10,0,0,0,,,7.4
227,2.0,22,22.5,14,,E10,0,0,0,,,6.0
228,16.0,40,22.0,8,,SP98,0,0,0,,,3.8
229,28.2,54,21.5,14,,SP98,0,0,0,,,4.6
230,12.4,38,23.0,1,snow,SP98,0,1,0,,,4.6
231,11.2,38,21.5,15,,E10,0,0,0,,,5.5
232,11.8,41,21.5,6,,SP98,0,0,0,,,4.6
233,13.0,38,22.5,3,AC rain,SP98,1,1,0,,,5.7
234,36.5,54,23.0,18,sun,SP98,0,0,1,,,3.9
235,12.4,18,21.0,11,AC rain,SP98,1,1,0,,,5.4
236,16.7,44,24.5,23,sun,SP98,0,0,1,,,3.8
237,16.0,42,22.0,11,,SP98,0,0,0,,,3.8
238,39.4,60,21.5,9,rain,E10,0,1,0,,,5.3
239,11.8,21,20.0,9,AC rain,SP98,1,1,0,,,5.9
240,16.0,40,22.0,10,,E10,0,0,0,,,4.0
241,13.0,37,22.5,11,rain,E10,0,1,0,,,5.7
242,11.8,42,22.5,8,,E10,0,0,0,,,4.4
243,6.1,28,21.5,8,,SP98,0,0,0,,,6.4
244,12.0,30,21.5,13,,E10,0,0,0,,,4.2
245,13.4,31,20.0,9,,SP98,0,0,0,,,5.5
246,11.8,36,21.0,4,,SP98,0,0,0,,,4.7
247,12.3,52,22.5,0,AC snow,E10,1,1,0,,,7.1
248,21.4,51,22.0,13,,SP98,0,0,0,,,5.2
249,5.4,32,21.5,7,,SP98,0,0,0,37.6,SP98,3.3
250,32.1,50,22.0,16,,SP98,0,0,0,,,4.5
251,12.4,42,21.5,4,,E10,0,0,0,,,5.6
252,16.0,43,22.0,16,,E10,0,0,0,,,4.0
253,81.2,69,22.0,13,,E10,0,0,0,,,4.4
254,23.5,25,21.5,5,rain,SP98,0,1,0,,,6.0
255,11.8,38,21.5,0,,E10,0,0,0,,,4.6
256,13.3,33,22.0,18,,SP98,0,0,0,,,4.6
257,10.5,42,20.0,10,,SP98,0,0,0,37.7,SP98,3.6
258,25.9,39,20.0,21,,SP98,0,0,0,,,3.7
259,11.8,40,21.5,10,rain,E10,0,1,0,,,4.3
260,16.0,42,22.0,17,,E10,0,0,0,,,3.8
261,162.7,75,23.0,1,,SP98,0,0,0,45.0,SP98,5.5
262,27.1,69,22.5,8,,SP98,0,0,0,,,5.0
263,12.5,57,20.0,11,,SP98,0,0,0,,,4.2
264,13.9,29,21.5,6,,SP98,0,0,0,,,5.1
265,12.4,57,21.5,8,,SP98,0,0,0,,,4.2
266,5.2,39,20.0,10,,SP98,0,0,0,,,4.5
267,12.4,55,22.5,11,sun,E10,0,0,1,,,4.6
268,26.6,38,21.5,7,,E10,0,0,0,,,4.8
269,22.2,42,,15,,SP98,0,0,0,,,3.8
270,14.0,41,22.5,8,,E10,0,0,0,,,5.0
